date	AAPL	SPY	TSLA	YETI	MSFT	NVDA
2023-10-31	169.11355590820312	408.7944030761719	200.83999633789062	42.52000045776367	333.09033203125	40.758277893066406
2023-11-30	188.35533142089844	446.13519287109375	240.0800018310547	42.63999938964844	374.0422668457031	46.745086669921875
2023-12-31	190.91366577148438	466.5036926269531	248.47999572753906	51.779998779296875	371.2091369628906	49.49997329711914
2024-01-31	182.8519287109375	473.9334411621094	187.2899932861328	43.970001220703125	392.472412109375	61.499629974365234
2024-02-29	179.46124267578125	498.66650390625	201.8800048828125	41.040000915527344	409.08123779296875	79.07681274414062
2024-03-31	170.25735473632812	514.9739379882812	175.7899932861328	38.54999923706055	416.0831298828125	90.3200454711914
2024-04-30	169.1155548095703	494.2103271484375	183.27999877929688	35.720001220703125	385.03912353515625	86.36763000488281
2024-05-31	191.13816833496094	519.207275390625	178.0800018310547	40.7400016784668	411.2952880859375	109.5893783569336
2024-06-30	209.40191650390625	537.5250854492188	197.8800048828125	38.150001525878906	442.82135009765625	123.50098419189453
2024-07-31	220.79563903808594	544.0339965820312	232.07000732421875	41.349998474121094	414.4855651855469	116.98303985595703
2024-08-31	227.9391632080078	556.7456665039062	214.11000061035156	40.31999969482422	414.0316467285156	119.33230590820312
2024-09-30	231.92063903808594	568.4398803710938	261.6300048828125	41.029998779296875	427.0935363769531	121.41203308105469
2024-10-31	224.8634796142578	563.3673706054688	249.85000610351562	35.209999084472656	403.3220520019531	132.72943115234375
2024-11-30	236.490478515625	596.962890625	345.1600036621094	40.369998931884766	421.1458435058594	138.21817016601562
2024-12-31	249.5341796875	582.5999145507812	403.8399963378906	38.5099983215332	419.196533203125	134.26832580566406
2025-01-31	235.16519165039062	598.2463989257812	404.6000061035156	37.2599983215332	412.7917785644531	120.05062103271484
2025-02-28	241.24948120117188	590.6517944335938	292.9800109863281	35.63999938964844	395.6121520996094	124.89983367919922
2025-03-31	221.58761596679688	557.7411499023438	259.1600036621094	33.099998474121094	374.087158203125	108.37247467041016
2025-04-30	211.9811248779297	552.9054565429688	282.1600036621094	28.549999237060547	393.88818359375	108.91243743896484
2025-05-31	200.622314453125	587.6527709960938	346.4599914550781	30.559999465942383	459.60443115234375	135.12062072753906
2025-06-30	204.93740844726562	617.8499755859375	317.6600036621094	31.520000457763672	496.5936584472656	157.99000549316406
2025-07-31	207.33470153808594	632.0800170898438	308.2699890136719	36.7400016784668	532.6243896484375	177.8699951171875
2025-08-31	232.13999938964844	645.0499877929688	333.8699951171875	35.15999984741211	506.69000244140625	174.17999267578125
2025-09-30	239.69000244140625	647.239990234375	350.8399963378906	36.310001373291016	495.0	167.02000427246094
